,Open,High,Low,Close,Volume
2011-11-30 01:43:00,1.33442,1.33464,1.33426,1.33435,2228200073.2421875
2011-11-30 01:44:00,1.33433,1.33468,1.33414,1.33468,1906600036.6210935
2011-11-30 01:45:00,1.3347,1.33482,1.33459,1.33473,1307100067.138672
2011-11-30 01:46:00,1.33473,1.33491,1.33472,1.33472,1245299987.7929688
2011-11-30 01:47:00,1.33472,1.33486,1.33448,1.33486,1278700027.4658203
2011-11-30 01:48:00,1.33488,1.33525,1.33488,1.335,1643399963.3789062
2011-11-30 01:49:00,1.33499,1.33499,1.33453,1.33453,1557200012.2070312
2011-11-30 01:50:00,1.33452,1.33452,1.3343,1.33437,949899978.6376952
2011-11-30 01:51:00,1.33435,1.33452,1.33426,1.33452,1434299926.7578125
2011-11-30 01:52:00,1.33455,1.33464,1.3344,1.33446,1599499969.482422
2011-11-30 01:53:00,1.33445,1.33448,1.33433,1.33433,1383399963.3789062
2011-11-30 01:54:00,1.33435,1.3345,1.33435,1.33444,1443699951.171875
2011-11-30 01:55:00,1.33447,1.3348,1.33447,1.33474,1125000000.0
2011-11-30 01:56:00,1.33475,1.33478,1.33449,1.33464,1079100036.6210938
2011-11-30 01:57:00,1.33469,1.33489,1.33447,1.33489,1345200042.7246094
2011-11-30 01:58:00,1.3349,1.33494,1.33469,1.3349,1445099945.0683594
2011-11-30 01:59:00,1.3349,1.3349,1.3347,1.33475,606500015.2587891
2011-11-30 02:00:00,1.33476,1.33478,1.33456,1.33464,1372700042.7246094
2011-11-30 02:01:00,1.33464,1.33464,1.33449,1.33451,808600006.1035156
2011-11-30 02:02:00,1.3345,1.3345,1.3341,1.33413,1517500000.0
2011-11-30 02:03:00,1.33414,1.33421,1.3341,1.33415,1131999969.482422
2011-11-30 02:04:00,1.3342,1.33433,1.33409,1.33427,1581600036.6210938
2011-11-30 02:05:00,1.33426,1.33457,1.33426,1.33453,1029199981.6894532
2011-11-30 02:06:00,1.33454,1.33456,1.33437,1.33446,649300003.0517578
